"appid","average_playtime","owners"
10,17612,15000000
20,277,7500000
30,187,7500000
40,258,7500000
50,624,7500000
60,175,7500000
70,1300,7500000
80,427,15000000
130,361,7500000
220,691,15000000
240,6842,15000000
280,190,3500000
300,1356,7500000
320,311,15000000
340,46,15000000
360,102,7500000
380,281,7500000
400,288,15000000
420,354,7500000
440,8495,35000000
500,897,7500000
550,1615,15000000
570,23944,150000000
620,1102,15000000
630,371,3500000
730,22494,75000000
1200,232,750000
1250,1328,3500000
1500,182,750000
1510,65,750000
1520,80,750000
1530,121,750000
1640,9,150000
1690,35,75000
1700,11,150000
1840,239,1500000
1900,405,1500000
1930,484,1500000
2100,634,1500000
2200,123,350000
2210,36,350000
2270,69,350000
2280,125,750000
2290,120,350000
2300,90,750000
2310,167,350000
2320,291,350000
2330,32,350000
2340,1,350000
2360,50,350000
2400,233,1500000
2450,193,150000
2500,186,750000
2600,350,750000
2610,462,75000
2620,545,350000
2630,750,350000
2800,732,350000
2810,831,350000
2820,972,750000
2840,648,350000
2850,13,35000
2870,1744,350000
2990,293,750000
3010,939,35000
3020,46,150000
3170,1422,350000
3260,1,75000
3270,270,350000
3330,267,150000
3480,214,350000
3483,1,350000
3540,237,350000
3590,480,1500000
3700,262,750000
3710,8,75000
3720,287,350000
3730,20,350000
3810,111,75000
3820,771,75000
3830,491,3500000
3900,49,1500000
3910,1166,3500000
3920,296,750000
4000,12422,15000000
4300,78,35000
4500,493,1500000
4520,124,150000
4530,1,150000
4560,175,3500000
4570,309,1500000
4580,543,1500000
4700,469,3500000
4720,312,350000
4760,897,1500000
4770,33,750000
4850,1134,150000
4880,1,150000
4890,71,150000
4920,627,1500000
6000,369,1500000
6010,419,150000
6020,1254,1500000
6030,127,1500000
6040,801,150000
6060,618,3500000
6080,17,35000
6090,100,35000
6120,255,350000
6200,21,150000
6220,78,350000
6300,20,150000
6310,14,350000
6370,70,750000
6510,74,350000
6550,90,350000
6800,63,750000
6810,12,750000
6830,201,750000
6840,14,750000
6850,63,1500000
6860,435,1500000
6880,20,1500000
6900,62,1500000
6910,324,1500000
6920,24,750000
6980,254,750000
7000,714,750000
7200,4774,150000
7210,14,150000
7510,313,750000
7520,327,750000
7530,320,350000
7600,165,750000
7610,46,350000
7620,1244,350000
7650,66,750000
7660,18,750000
7760,2235,1500000
7860,113,150000
7940,1417,1500000
8000,239,750000
8080,209,350000
8140,313,750000
8170,132,350000
8190,519,3500000
8400,109,150000
8500,5123,1500000
8600,1636,1500000
8800,108,1500000
8870,614,3500000
8880,16,350000
8890,23,350000
8930,4760,7500000
9010,32,350000
9030,88,350000
9040,129,350000
9050,362,350000
9060,10,350000
9160,7,750000
9180,145,350000
9200,559,1500000
9310,213,750000
9340,79,3500000
9350,306,1500000
9420,803,1500000
9450,1433,1500000
9460,154,350000
9480,322,3500000
9500,23,350000
9800,64,150000
9880,12952,1500000
9900,2514,1500000
9940,222,75000
9980,23,35000
10090,2331,1500000
10100,10,150000
10110,10,150000
10150,645,750000
10180,999,7500000
10220,411,75000
10270,889,75000
10500,3176,3500000
10680,170,1500000
11020,902,3500000
11200,355,350000
11230,46,75000
11240,15,350000
11280,91,150000
11330,41,150000
11340,76,150000
11360,36,150000
11450,304,1500000
11590,119,350000
12100,98,1500000
12110,209,3500000
12120,807,3500000
12130,99,350000
12140,316,750000
12150,175,750000
12170,7,750000
12180,3,750000
12200,319,1500000
12210,1255,3500000
12220,508,3500000
12320,337,350000
12360,37,350000
12430,2,10000
12470,203,75000
12500,52,150000
12710,446,750000
12770,88,350000
12810,197,1500000
12830,413,750000
13000,121,10000
13140,12,750000
13200,682,350000
13210,542,750000
13230,414,350000
13240,565,350000
13250,67,750000
13500,307,350000
13520,126,750000
13530,205,350000
13560,28,350000
13570,22,350000
13600,167,350000
