"appid","percent","owners"
10,0.97,15000000
20,0.84,7500000
30,0.9,7500000
40,0.83,7500000
50,0.95,7500000
60,0.8,7500000
70,0.96,7500000
80,0.89,15000000
130,0.9,7500000
220,0.97,15000000
240,0.96,15000000
280,0.78,3500000
300,0.9,7500000
320,0.88,15000000
340,0.85,15000000
360,0.74,7500000
380,0.94,7500000
400,0.98,15000000
420,0.95,7500000
440,0.94,35000000
500,0.95,7500000
550,0.97,15000000
570,0.86,150000000
620,0.99,15000000
630,0.95,3500000
730,0.87,75000000
1002,0.7,35000
1200,0.88,750000
1250,0.95,3500000
1300,0.88,150000
1500,0.75,750000
1510,0.91,750000
1520,0.86,750000
1530,0.83,750000
1600,0.76,75000
1610,0.81,75000
1630,0.81,150000
1640,0.76,150000
1670,0.57,35000
1690,0.69,75000
1700,0.86,150000
1840,0.93,1500000
1900,0.68,1500000
1930,0.72,1500000
2100,0.93,1500000
2200,0.95,350000
2210,0.84,350000
2270,0.95,350000
2280,0.94,750000
2290,0.87,350000
2300,0.93,750000
2310,0.95,350000
2320,0.93,350000
2330,0.84,350000
2340,0.62,350000
2350,0.78,350000
2360,0.91,350000
2370,0.74,150000
2390,0.93,350000
2400,0.86,1500000
2450,0.76,150000
2500,0.8,750000
2520,0.53,75000
2590,0.54,350000
2600,0.94,750000
2610,0.89,75000
2620,0.93,350000
2630,0.91,350000
2640,0.83,350000
2710,0.85,35000
2720,0.78,35000
2780,0.65,35000
2800,0.81,350000
2810,0.71,350000
2820,0.86,750000
2840,0.75,350000
2850,0.76,35000
2870,0.41,350000
2900,0.75,35000
2910,0.8,75000
2920,0.7,35000
2990,0.94,750000
3010,0.78,35000
3020,0.8,150000
3050,0.66,35000
3130,0.81,350000
3170,0.9,350000
3230,0.24,35000
3260,0.6,75000
3270,0.76,350000
3330,0.92,150000
3410,0.72,35000
3480,0.94,350000
3483,0.92,350000
3490,0.83,35000
3500,0.77,35000
3510,0.72,35000
3520,0.69,35000
3530,0.77,35000
3540,0.94,350000
3560,0.84,35000
3570,0.62,35000
3580,0.83,35000
3590,0.97,1500000
3600,0.63,75000
3610,0.73,35000
3620,0.94,150000
3700,0.76,750000
3710,0.88,75000
3720,0.95,350000
3730,0.87,350000
3800,0.79,75000
3810,0.77,75000
3820,0.72,75000
3830,0.95,3500000
3900,0.92,1500000
3910,0.86,3500000
3920,0.93,750000
3960,0.44,35000
3980,0.74,75000
3990,0.86,1500000
4000,0.96,15000000
4100,0.44,10000
4230,0.73,350000
4290,0.67,10000
4300,0.75,35000
4420,0.61,35000
4460,0.65,35000
4470,0.65,35000
4500,0.95,1500000
4520,0.64,150000
4530,0.67,150000
4560,0.94,3500000
4570,0.94,1500000
4580,0.96,1500000
4700,0.94,3500000
4720,0.85,350000
4760,0.93,1500000
4770,0.72,750000
4780,0.95,350000
4800,0.85,75000
4850,0.88,150000
4870,0.82,150000
4880,0.72,150000
4890,0.64,150000
4900,0.88,10000
4920,0.85,1500000
6000,0.94,1500000
6010,0.95,150000
6020,0.95,1500000
6030,0.9,1500000
6040,0.91,150000
6060,0.92,3500000
6080,0.88,35000
6090,0.86,35000
6120,0.89,350000
6200,0.86,150000
6210,0.73,35000
6220,0.91,350000
6250,0.81,75000
6270,0.44,35000
6300,0.87,150000
6310,0.92,350000
6370,0.86,750000
6400,0.87,35000
6420,0.84,75000
6510,0.76,350000
6550,0.58,350000
6800,0.88,750000
6810,0.85,750000
6830,0.85,750000
6840,0.61,750000
6850,0.85,1500000
6860,0.94,1500000
6870,0.74,350000
6880,0.67,1500000
6900,0.72,1500000
6910,0.95,1500000
6920,0.6,750000
6980,0.84,750000
7000,0.87,750000
7010,0.74,75000
7020,0.94,75000
7110,0.74,350000
7200,0.95,150000
7210,0.72,150000
7220,0.57,150000
7260,0.56,35000
7340,0.67,10000
7510,0.61,750000
7520,0.6,750000
7530,0.44,350000
7600,0.66,750000
7610,0.7,350000
7620,0.84,350000
7650,0.92,750000
7660,0.89,750000
7730,0.51,750000
7760,0.94,1500000
7770,0.51,750000
7830,0.87,350000
7840,0.4,35000
7860,0.67,150000
7940,0.91,1500000
8000,0.83,750000
8080,0.63,350000
8100,0.46,75000
8140,0.75,750000
8170,0.65,350000
8190,0.91,3500000
8310,0.52,150000
8320,0.57,150000
8330,0.47,150000
8340,0.9,150000
8400,0.9,150000
8500,0.75,1500000
8600,0.83,1500000
8790,0.92,75000
8800,0.95,1500000
8870,0.95,3500000
8880,0.57,350000
8890,0.81,350000
8930,0.96,7500000
8970,0.71,35000
9000,0.85,350000
9010,0.92,350000
9030,0.91,350000
9040,0.94,350000
9050,0.88,350000
9060,0.82,350000
9160,0.82,750000
9180,0.94,350000
9200,0.77,1500000
9310,0.89,750000
9340,0.92,3500000
9350,0.87,1500000
9420,0.97,1500000
9450,0.94,1500000
9460,0.62,350000
9480,0.77,3500000
9500,0.63,350000
9710,0.44,75000
9760,0.81,35000
9800,0.75,150000
9850,0.59,35000
9880,0.72,1500000
9900,0.76,1500000
9940,0.83,75000
9960,0.41,10000
9970,0.17,10000
9980,0.67,35000
10090,0.93,1500000
10100,0.8,150000
10110,0.77,150000
10120,0.47,10000
10130,0.8,150000
10140,0.64,10000
10150,0.8,750000
10180,0.91,7500000
10220,0.37,75000
10230,0.28,10000
10240,0.6,10000
10250,0.5,10000
10260,0.33,10000
10270,0.71,75000
10460,0.48,35000
10500,0.9,3500000
10680,0.89,1500000
11020,0.87,3500000
11040,0.73,150000
11050,0.68,35000
11130,0.31,150000
11140,0.78,150000
11150,0.64,75000
11190,0.76,150000
11200,0.58,350000
11230,0.71,75000
11240,0.49,350000
11250,0.69,75000
11260,0.58,75000
11280,0.87,150000
11330,0.82,150000
11340,0.76,150000
11360,0.75,150000
11450,0.93,1500000
11480,0.82,150000
11560,0.61,35000
11590,0.37,350000
12100,0.86,1500000
12110,0.92,3500000
12120,0.89,3500000
12130,0.65,350000
12140,0.9,750000
12150,0.94,750000
12170,0.87,750000
12180,0.92,750000
12200,0.83,1500000
12210,0.65,3500000
12220,0.73,3500000
12310,0.8,35000
12320,0.82,350000
12330,0.81,150000
12340,0.63,35000
12360,0.83,350000
12390,0.54,10000
12420,0.23,10000
12430,0.31,10000
12440,0.58,35000
12450,0.6,35000
12460,0.53,35000
12470,0.65,75000
12480,0.56,35000
12500,0.88,150000
12510,0.17,35000
12520,0.69,75000
12530,0.76,35000
12540,0.78,35000
12560,0.37,35000
12590,0.51,35000
12600,0.27,35000
12640,0.77,150000
12670,0.7,10000
12710,0.93,750000
12770,0.67,350000
12790,0.42,75000
12810,0.87,1500000
12830,0.64,750000
13000,0.92,10000
13140,0.68,750000
13200,0.71,350000
13210,0.9,750000
13230,0.97,350000
13240,0.97,350000
13250,0.9,750000
13500,0.87,350000
13520,0.84,750000
13530,0.77,350000
13540,0.78,350000
13560,0.86,350000
13570,0.93,350000
13580,0.44,350000
13600,0.87,350000
13620,0.94,150000
15000,0.5,150000
15080,0.75,35000
15100,0.83,750000
15120,0.85,750000
15130,0.91,350000
15160,0.67,10000
15170,0.87,350000
15190,0.86,150000
15200,0.65,75000
15210,0.86,150000
15240,0.74,75000
15270,0.87,35000
15300,0.92,150000
15320,0.87,350000
15370,0.92,350000
15380,0.8,350000
15390,0.89,150000
15400,0.81,35000
15500,0.75,150000
15520,0.84,150000
15560,0.75,350000
15620,0.88,3500000
15700,0.86,3500000
15710,0.94,350000
15740,0.74,350000
15750,0.85,350000
15800,0.5,10000
15900,0.76,35000
15910,0.67,10000
15920,0.33,35000
15930,0.79,35000
15960,0.68,35000
15970,0.67,10000
16000,0.41,10000
16020,0.57,35000
16030,0.73,35000
16040,0.67,10000
16060,0.51,35000
16100,0.74,10000
16110,0.79,10000
16120,0.91,10000
16130,0.81,10000
16180,0.82,10000
16200,0.74,10000
16450,0.87,1500000
16500,0.91,10000
16600,0.84,75000
16620,0.62,10000
16710,0.74,150000
16720,0.59,350000
16730,0.52,350000
16810,0.78,1500000
16900,0.81,35000
17080,0.79,3500000
17100,0.83,75000
17120,0.81,35000
17140,0.75,35000
17180,0.71,10000
17300,0.83,1500000
17330,0.84,750000
17390,0.88,3500000
17410,0.88,3500000
17430,0.69,350000
17440,0.83,750000
17450,0.93,750000
17460,0.94,1500000
17470,0.9,3500000
17480,0.84,750000
17500,0.85,750000
17570,0.87,750000
17710,0.79,350000
17740,0.85,150000
18000,0.9,350000
18020,0.84,350000
18040,0.94,150000
18050,0.87,75000
18070,0.8,150000
18120,0.8,75000
18300,0.75,75000
18400,0.47,150000
18420,0.8,75000
18470,0.7,35000
18480,0.59,35000
18500,0.97,750000
18600,0.55,10000
18700,0.69,350000
18820,0.79,150000
19000,0.52,150000
19020,0.67,10000
19030,0.76,10000
19080,0.07,10000
19200,0.54,150000
19320,0.43,10000
19500,0.25,10000
19800,0.85,150000
19830,0.92,150000
19900,0.75,1500000
19980,0.78,350000
20200,0.38,10000
20510,0.86,750000
20530,0.9,750000
20540,0.93,3500000
20550,0.53,750000
20570,0.91,1500000
20700,0.77,10000
20710,0.82,35000
20820,0.94,350000
20900,0.86,3500000
20920,0.89,3500000
21000,0.81,350000
21010,0.65,35000
21030,0.66,35000
21090,0.94,1500000
21100,0.72,1500000
21130,0.78,350000
21300,0.7,10000
21400,0.67,10000
21500,0.63,10000
21640,0.76,35000
21660,0.7,150000
21670,0.72,350000
21680,0.61,350000
21690,0.85,1500000
21780,0.89,35000
21800,0.72,150000
21980,0.83,350000
22000,0.94,1500000
22100,0.92,1500000
22120,0.95,350000
22130,0.82,75000
22180,0.91,750000
22200,0.85,350000
22230,0.91,350000
22300,0.79,750000
22310,0.66,75000
22320,0.95,1500000
22330,0.94,1500000
22350,0.6,1500000
22370,0.8,3500000
22380,0.95,3500000
22450,0.7,150000
22500,0.87,35000
22600,0.85,750000
22610,0.72,350000
22650,0.68,350000
22670,0.73,350000
23150,0.72,10000
23300,0.61,150000
23380,0.52,150000
23400,0.81,150000
23420,0.7,75000
23450,0.72,350000
23460,0.81,35000
23490,0.88,1500000
23500,0.47,35000
23530,0.88,75000
23600,0.74,35000
23700,0.58,150000
24010,0.62,1500000
24200,0.79,3500000
24240,0.93,3500000
24400,0.73,350000
24410,0.54,35000
24420,0.88,350000
24460,0.39,75000
24480,0.53,150000
24640,0.33,35000
24650,0.43,35000
24670,0.58,150000
24720,0.81,750000
24740,0.87,1500000
24780,0.76,1500000
24790,0.89,750000
24800,0.8,1500000
24810,0.93,350000
24840,0.79,350000
24870,0.73,350000
24960,0.86,3500000
24980,0.95,1500000
25000,0.71,750000
25010,0.77,150000
25500,0.56,35000
25600,0.87,75000
25620,0.83,35000
25700,0.84,75000
25800,0.83,350000
25830,0.92,150000
25850,0.72,75000
25890,0.77,750000
25900,0.9,350000
25910,0.79,75000
25930,0.48,75000
25980,0.7,150000
25990,0.94,150000
26000,0.82,75000
26300,0.3,10000
26800,0.94,1500000
26900,0.86,750000
27000,0.74,150000
27020,0.61,35000
27050,0.55,10000
27200,0.58,10000
27330,0.39,75000
27400,0.64,150000
27600,0.92,10000
27800,0.68,35000
27810,0.8,35000
27900,0.37,75000
27920,0.49,35000
27940,0.34,75000
28000,0.6,750000
29120,0.67,35000
29130,0.94,35000
29160,0.77,35000
29180,0.89,750000
29800,0.79,350000
29900,0.78,75000
31270,0.88,750000
31300,0.37,10000
31800,0.63,10000
31810,0.93,35000
31820,0.85,10000
31830,0.9,35000
31840,0.94,10000
31850,0.89,10000
31860,0.89,10000
31870,0.45,10000
31880,0.93,10000
31890,0.87,10000
31900,0.73,10000
31910,0.81,10000
31920,0.76,10000
31930,0.75,10000
31980,0.67,10000
32000,0.0,10000
32110,0.77,75000
32120,0.57,10000
32140,0.69,75000
32150,0.98,10000
32160,0.85,75000
32200,0.64,35000
32310,0.79,150000
32330,0.78,75000
32340,0.88,150000
32350,0.48,750000
32360,0.95,750000
32370,0.88,3500000
32380,0.71,1500000
32390,0.66,750000
